Borough,Creation Date,Latitude,Longitude
Manhattan,08/06/2012 11:19:27 AM,40.81713115,-73.93863659
Bronx,07/06/2012 12:20:10 AM,40.8372468,-73.87149719
Brooklyn,12/02/2018 5:11:16 AM,40.856517,-73.826316
Manhattan,04/08/2016 6:08:51 PM,40.71848776,-74.00264426
Brooklyn,05/15/2014 7:56:30 AM,40.67799418,-73.99619645
Manhattan,11/17/2014 2:58:12 PM,40.7119934,-74.00810155
Brooklyn,07/06/2022 7:42:46 AM,40.67462266,-74.01437771
Manhattan,12/18/2018 11:13:47 AM,,
Manhattan,06/03/2018 7:35:40 PM,40.72725178,-73.984551
Brooklyn,06/19/2018 6:00:27 PM,40.61047194,-73.99119703
Bronx,01/11/2022 6:16:15 AM,40.86185002,-73.91263993
Brooklyn,06/10/2013 9:26:37 AM,40.69485984,-73.98467376
Brooklyn,04/10/2019 6:22:38 PM,40.6332562,-73.96709535
Brooklyn,10/07/2018 6:46:48 PM,,
Bronx,07/27/2015 1:53:30 PM,40.84851613,-73.90842652
Brooklyn,09/30/2016 8:10:13 AM,,
Manhattan,05/14/2014 1:27:06 PM,40.73349332,-74.00370569
Queens,10/18/2012 1:20:05 AM,40.74664168,-73.89139142
Manhattan,02/26/2015 1:06:06 PM,40.73209762,-73.98189411
Bronx,03/05/2018 2:04:16 AM,40.85553375,-73.88891492
Manhattan,06/06/2022 6:36:03 AM,,
Brooklyn,05/20/2014 1:36:01 AM,40.7015827,-73.93824886
Manhattan,04/11/2016 9:53:34 AM,40.76499524,-73.97670485
Manhattan,05/03/2018 9:45:41 AM,40.750281,-73.9948635
Brooklyn,02/05/2020 2:27:18 PM,40.66471429,-73.88658194
Brooklyn,05/21/2019 7:37:34 PM,,
Manhattan,02/11/2016 9:40:12 AM,40.75435073,-73.99858512
Manhattan,07/19/2018 7:02:24 AM,40.74003719,-73.99063758
Manhattan,11/15/2018 1:14:54 PM,40.79167489,-73.9385149
Manhattan,11/14/2017 3:37:43 PM,,
Bronx,08/12/2020 12:32:55 PM,40.84879001,-73.89380102
Manhattan,07/08/2012 7:55:09 AM,40.76428121,-73.9985813
Brooklyn,07/28/2020 12:39:25 PM,40.69980832,-73.98976959
Queens,11/13/2019 7:44:53 AM,40.59210479,-73.78824765
Manhattan,07/19/2018 7:02:24 AM,40.74003719,-73.99063758
Brooklyn,11/06/2019 12:26:14 PM,40.68000771,-73.91925688
Queens,10/26/2012 5:51:48 AM,40.76666775,-73.88610973
Manhattan,12/23/2016 1:36:49 PM,40.71442154,-74.00607638
Brooklyn,04/13/2020 6:43:21 AM,,
Bronx,11/07/2013 7:09:41 PM,40.86121662,-73.85995092
Brooklyn,03/22/2013 3:35:35 PM,40.64806716,-73.90844578
Brooklyn,12/07/2017 5:37:05 AM,40.68105021,-73.95517662
Staten Island,04/06/2016 6:20:51 PM,40.58061768,-74.15252871
Bronx,06/24/2015 3:01:55 PM,40.81447656,-73.89673737
Staten Island,02/01/2017 8:16:11 AM,40.57827086,-74.15662795
Brooklyn,08/21/2019 12:04:53 PM,40.59783,-73.9654695
Queens,01/04/2016 1:25:16 PM,40.72940178,-73.84563701
Manhattan,05/16/2018 2:53:34 PM,40.776219,-73.9438245
Manhattan,05/30/2018 11:16:13 AM,40.75655495,-73.98630453
Queens,11/12/2021 2:59:42 PM,40.60601167,-73.75132662
Staten Island,09/18/2020 10:40:34 PM,40.60480002,-74.07568698
Bronx,11/16/2016 11:13:13 AM,40.89194702,-73.83857458
Bronx,12/26/2021 8:45:20 PM,40.83425386,-73.85492885
Brooklyn,03/26/2017 6:38:05 PM,,
Manhattan,09/11/2013 10:10:00 AM,40.75180865,-73.97287643
Manhattan,11/24/2020 10:59:26 AM,40.77877154,-73.97614133
Queens,02/01/2022 10:30:49 AM,40.68763325,-73.85139018
Manhattan,02/01/2014 12:19:47 PM,40.73339174,-74.00427579
manhattan,09/28/2015 1:26:23 AM,40.80033569,-73.93770937
Brooklyn,02/06/2022 4:29:23 PM,40.60087004,-73.95867988
Brooklyn,02/22/2018 12:44:04 PM,40.68676165,-73.98453385
Brooklyn,08/13/2015 11:45:19 PM,40.66490136,-73.89305285
Manhattan,01/09/2013 8:58:15 AM,40.70375095,-74.0070474
Bronx,04/13/2013 8:00:35 AM,40.81778959,-73.9242858
Queens,03/30/2022 7:28:55 PM,40.69418053,-73.81005189
Brooklyn,08/16/2015 3:41:39 PM,40.67350644,-73.99521614
Bronx,08/27/2019 12:08:59 PM,40.87844575,-73.88169778
Manhattan,03/24/2012 5:47:30 PM,40.74684022,-73.98571563
Queens,04/30/2014 8:59:34 PM,40.66703836,-73.85446139
Brooklyn,03/03/2017 11:58:25 AM,,
Manhattan,07/15/2020 4:05:07 PM,40.70490307,-74.01185977
staten island,03/09/2016 12:47:32 AM,40.64675338,-74.08676326
Staten Island,08/23/2021 3:40:24 PM,40.59766601,-74.07280301
Bronx,10/19/2020 8:31:03 PM,40.89010001,-73.85941996
Bronx,08/05/2014 8:22:16 AM,40.81851002,-73.80581146
Bronx,11/12/2016 8:47:40 PM,,
Bronx,05/13/2018 12:07:17 PM,40.87854738,-73.90074762
Manhattan,06/29/2020 8:54:41 AM,40.76519838,-73.97529692
Queens,02/24/2012 8:39:34 AM,40.67509797,-73.79398606
Manhattan,10/13/2016 6:22:41 AM,,
Bronx,04/13/2021 6:54:28 PM,40.83350196,-73.85146668
Manhattan,07/19/2019 6:43:37 PM,40.80438,-73.937412
Queens,01/04/2019 2:23:28 PM,40.758309,-73.855602
New York,12/05/2020 5:05:13 AM,40.72768999,-73.98769099
Brooklyn,07/05/2020 3:38:11 PM,40.69979588,-73.9897529
Brooklyn,04/16/2012 7:56:53 AM,40.69456954,-73.99066726
Manhattan,11/12/2017 10:17:16 AM,,
